test_date,district,tests_combined,cases_combined,tests_nontraveller,cases_nontraveller
2020-04-11,Pirojpur,1,0,1,0
2020-04-11,Satkhira,1,0,1,0
2020-04-11,Shariatpur,4,4,4,4
2020-04-11,Sylhet,1,0,1,0
2020-04-11,Thakurgaon,4,3,4,3
2020-04-12,Bandarban,9,0,9,0
2020-04-12,Barguna,10,2,10,2
2020-04-12,BARISHAL,3,3,3,3
2020-04-12,Brahmanbaria,1,1,1,1
2020-04-12,Chandpur,1,0,1,0
2020-04-12,CHATTOGRAM,1,1,1,1
2020-04-12,Chuadanga,10,0,10,0
2020-04-12,COXS BAZAR,15,0,15,0
2020-04-12,CUMILLA,1,0,1,0
2020-04-12,Dhaka,60,39,60,39
2020-04-12,Faridpur,1,0,1,0
2020-04-12,Gaibandha,2,1,2,1
2020-04-12,Gazipur,7,7,7,7
2020-04-12,Gopalganj,8,0,8,0
2020-04-12,Habiganj,27,5,27,5
2020-04-12,Jamalpur,10,3,10,3
2020-04-12,JASHORE,1,0,1,0
2020-04-12,Khulna,1,1,1,1
2020-04-12,KISHOREGANJ,30,3,30,3
2020-04-12,Kushtia,10,0,10,0
2020-04-12,Lakshmipur,1,1,1,1
2020-04-12,Madaripur,4,0,4,0
2020-04-12,Magura,1,1,1,1
2020-04-12,Manikganj,27,1,27,1
2020-04-12,Meherpur,13,0,13,0
2020-04-12,Moulvibazar,25,0,25,0
2020-04-12,Mymensingh,35,7,35,7
2020-04-12,Naogaon,1,1,1,1
2020-04-12,Narail,2,2,2,2
2020-04-12,Narayanganj,25,24,25,24
2020-04-12,Netrakona,8,2,8,2
2020-04-12,Patuakhali,2,2,2,2
2020-04-12,Pirojpur,7,0,7,0
2020-04-12,Rajshahi,2,2,2,2
2020-04-12,Rangpur,13,2,13,2
2020-04-12,Satkhira,3,0,3,0
2020-04-12,Shariatpur,3,0,3,0
2020-04-12,Sherpur,1,0,1,0
2020-04-12,Sirajganj,2,1,2,1
2020-04-12,Sunamganj,21,2,21,2
2020-04-12,Sylhet,17,0,17,0
2020-04-12,Tangail,34,7,34,7
2020-04-13,Bagerhat,2,1,2,1
2020-04-13,Bandarban,1,0,1,0
2020-04-13,BARISHAL,6,6,6,6
2020-04-13,CHATTOGRAM,1,1,1,1
2020-04-13,COXS BAZAR,12,0,12,0
2020-04-13,CUMILLA,5,5,5,5
2020-04-13,Dhaka,117,45,117,45
2020-04-13,Dinajpur,1,0,1,0
2020-04-13,Gaibandha,3,2,3,2
2020-04-13,Gazipur,184,17,184,17
2020-04-13,Habiganj,45,0,45,0
2020-04-13,Jamalpur,36,7,36,7
2020-04-13,JASHORE,2,0,2,0
2020-04-13,Jhenaidah,1,0,1,0
2020-04-13,Joypurhat,2,2,2,2
2020-04-13,Khulna,8,2,8,2
2020-04-13,KISHOREGANJ,46,3,46,3
2020-04-13,Kurigram,1,1,1,1
2020-04-13,Kushtia,5,0,5,0
2020-04-13,Lakshmipur,2,2,2,2
2020-04-13,Magura,5,1,5,1
2020-04-13,Manikganj,4,1,4,1
2020-04-13,Moulvibazar,21,0,21,0
2020-04-13,Munshiganj,1,1,1,1
2020-04-13,Mymensingh,23,6,23,6
2020-04-13,Naogaon,1,0,1,0
2020-04-13,Narail,2,1,2,1
2020-04-13,Narayanganj,31,31,31,31
2020-04-13,Narsingdi,90,29,90,29
2020-04-13,Natore,2,1,2,1
2020-04-13,Netrakona,5,1,5,1
2020-04-13,Nilphamari,1,1,1,1
2020-04-13,Noakhali,1,0,1,0
2020-04-13,Pabna,5,5,4,4
2020-04-13,Patuakhali,1,1,1,1
2020-04-13,Pirojpur,4,1,4,1
2020-04-13,Rajbari,2,2,2,2
2020-04-13,Rajshahi,1,1,1,1
2020-04-13,Rangpur,2,0,2,0
2020-04-13,Shariatpur,2,2,2,2
2020-04-13,Sherpur,6,1,6,1
2020-04-13,Sirajganj,1,0,1,0
2020-04-13,Sunamganj,2,1,2,1
2020-04-13,Sylhet,18,0,18,0
2020-04-13,Tangail,34,2,34,2
2020-04-14,Bagerhat,3,1,3,1
2020-04-14,Bandarban,9,0,9,0
2020-04-14,Barguna,1,1,1,1
2020-04-14,BARISHAL,1,1,1,1
2020-04-14,CHATTOGRAM,1,1,1,1
2020-04-14,COXS BAZAR,19,0,19,0
2020-04-14,CUMILLA,1,1,1,1
2020-04-14,Dhaka,119,73,119,73
2020-04-14,Dinajpur,12,4,12,4
2020-04-14,Faridpur,5,0,5,0
2020-04-14,Gaibandha,3,3,3,3
2020-04-14,Gazipur,23,19,23,19
2020-04-14,Gopalganj,4,0,4,0
2020-04-14,Habiganj,6,2,6,2
2020-04-14,Jamalpur,47,6,47,6
2020-04-14,JASHORE,12,1,12,1
2020-04-14,Jhenaidah,7,0,7,0
2020-04-14,Joypurhat,2,1,2,1
2020-04-14,Khulna,5,1,5,1
2020-04-14,KISHOREGANJ,8,7,8,7
2020-04-14,Kurigram,5,1,5,1
2020-04-14,Kushtia,1,0,1,0
2020-04-14,Lakshmipur,4,4,4,4
2020-04-14,Madaripur,47,5,47,5
2020-04-14,Manikganj,6,1,6,1
2020-04-14,Meherpur,27,0,27,0
2020-04-14,Moulvibazar,3,1,3,1
2020-04-14,Munshiganj,4,4,4,4
2020-04-14,Mymensingh,31,3,31,3
2020-04-14,Narayanganj,13,13,13,13
2020-04-14,Narsingdi,4,2,4,2
2020-04-14,Netrakona,29,10,29,10
2020-04-14,Nilphamari,1,1,1,1
2020-04-14,Panchagarh,1,1,1,1
2020-04-14,Pirojpur,3,3,3,3
2020-04-14,Rajshahi,1,1,1,1
2020-04-14,Rangpur,10,1,10,1
2020-04-14,Shariatpur,1,1,1,1
2020-04-14,Sherpur,10,0,10,0
2020-04-14,Sunamganj,23,3,23,3
2020-04-14,Sylhet,56,0,56,0
2020-04-14,Tangail,79,3,79,3
2020-04-14,Thakurgaon,1,1,1,1
2020-04-15,Bandarban,4,1,4,1
2020-04-15,Barguna,11,1,11,1
2020-04-15,BARISHAL,19,1,19,1
2020-04-15,Brahmanbaria,2,2,2,2
2020-04-15,CHATTOGRAM,1,1,1,1
2020-04-15,COXS BAZAR,11,0,11,0
2020-04-15,CUMILLA,1,1,1,1
2020-04-15,Dhaka,215,96,215,96
2020-04-15,Dinajpur,2,1,2,1
2020-04-15,Faridpur,1,1,1,1
2020-04-15,Gaibandha,1,1,1,1
2020-04-15,Gazipur,181,24,181,24
2020-04-15,Gopalganj,2,1,2,1
2020-04-15,Jamalpur,47,3,47,3
2020-04-15,Jhalokati,1,1,1,1
2020-04-15,Khagrachhari,1,1,1,1
2020-04-15,Khulna,1,0,1,0
2020-04-15,KISHOREGANJ,36,8,36,8
2020-04-15,Manikganj,21,2,21,2
2020-04-15,Munshiganj,2,2,2,2
2020-04-15,Mymensingh,45,7,45,7
2020-04-15,Naogaon,2,0,2,0
2020-04-15,Narayanganj,39,39,39,39
2020-04-15,Narsingdi,107,9,107,9
2020-04-15,Netrakona,26,4,26,4
2020-04-15,Noakhali,1,0,1,0
2020-04-15,Pirojpur,1,1,1,1
2020-04-15,Rajbari,3,2,3,2
2020-04-15,Rangpur,1,1,1,1
2020-04-15,Sherpur,26,10,26,10
2020-04-15,Sunamganj,27,1,27,1
2020-04-15,Sylhet,30,2,30,2
2020-04-15,Tangail,60,1,60,1
2020-04-15,Thakurgaon,3,0,3,0
2020-04-16,Bagerhat,27,0,27,0
2020-04-16,Bandarban,3,1,3,1
2020-04-16,Barguna,5,2,5,2
2020-04-16,BARISHAL,15,6,15,6
2020-04-16,BOGURA,2,1,2,1
2020-04-16,Brahmanbaria,2,2,2,2
2020-04-16,Chandpur,2,2,2,2
2020-04-16,CHATTOGRAM,2,2,2,2
2020-04-16,COXS BAZAR,28,2,28,2
2020-04-16,CUMILLA,4,3,4,3
2020-04-16,Dhaka,178,154,178,154
2020-04-16,Faridpur,9,1,9,1
2020-04-16,Gazipur,13,12,13,12
2020-04-16,Gopalganj,9,4,9,4
2020-04-16,Habiganj,30,0,30,0
2020-04-16,Jamalpur,22,0,22,0
2020-04-16,JASHORE,46,0,46,0
2020-04-16,Joypurhat,2,2,2,2
2020-04-16,Khulna,29,0,29,0
2020-04-16,KISHOREGANJ,17,12,17,12
2020-04-16,Kushtia,12,2,12,2
2020-04-16,Madaripur,6,1,6,1
2020-04-16,Magura,6,0,6,0
2020-04-16,Manikganj,10,0,10,0
2020-04-16,Meherpur,31,0,31,0
2020-04-16,Moulvibazar,5,0,5,0
2020-04-16,Munshiganj,4,4,4,4
2020-04-16,Mymensingh,67,19,67,19
2020-04-16,Narail,5,0,5,0
2020-04-16,Narayanganj,36,36,36,36
2020-04-16,Narsingdi,50,21,50,21
2020-04-16,Natore,1,1,1,1
2020-04-16,Netrakona,30,3,30,3
2020-04-16,Pabna,1,1,1,1
2020-04-16,Patuakhali,1,0,1,0
2020-04-16,Pirojpur,3,0,3,0
2020-04-16,Rajbari,1,0,1,0
2020-04-16,Rajshahi,3,3,3,3
