days,confirmed,recovered,deaths,active,cfr_recovered,cfr_confirmed
2021-03-04,548549,500468,8435,39646,1.6574867902134591,1.5376930775555147
2021-03-05,549184,501144,8441,39599,1.656445931493274,1.5370076331429903
2021-03-06,549724,501966,8451,39307,1.655705041172218,1.5373169081211662
2021-03-07,550330,503003,8462,38865,1.6544631597470012,1.5376228808169643
2021-03-08,551175,504120,8476,38579,1.6535439215288452,1.5378055971333968
2021-03-09,552087,505349,8489,38249,1.6520771137985124,1.5376199765616652
2021-03-10,553105,506613,8496,37996,1.6493596500934753,1.5360555409913126
2021-03-11,554156,507920,8502,37734,1.646328003067259,1.5342250196695515
2021-03-12,555222,509172,8515,37535,1.644816269290131,1.5336207859198663
2021-03-13,556236,510310,8527,37399,1.6434834061564614,1.5329824031526187
2021-03-14,557395,511695,8545,37155,1.6425111487005997,1.5330241570161196
2021-03-15,559168,513127,8571,37470,1.6429045156393163,1.5328130365113883
2021-03-16,560887,514479,8597,37811,1.6435470180241494,1.5327508036378095
2021-03-17,562752,515989,8608,38155,1.6408786173005183,1.5296258387353576
2021-03-18,564939,517223,8624,39092,1.6400207664967186,1.5265364933205179
2021-03-19,566838,518841,8642,39355,1.638346638659445,1.5245978568832719
2021-03-20,568706,520418,8668,39620,1.6382969876352804,1.524161869225927
2021-03-21,570878,522105,8690,40083,1.6371668911726749,1.522216655747813
2021-03-22,573687,523859,8720,41108,1.6373157785042218,1.5199926092102487
2021-03-23,577241,525694,8738,42809,1.6350068858152207,1.513752488128875
2021-03-24,580808,527609,8763,44436,1.6337541855279545,1.508760209914464
2021-03-25,584395,529594,8797,46004,1.6339426179115177,1.5053174650707142
2021-03-26,588132,531651,8830,47651,1.6337299553545823,1.5013636394550882
=======
>>>>>>> b524199def02b9575a7003c77986bd21ed31654b
